,夏洛特烦恼,羞羞的铁拳
0,4.2,0.8
1,4.4,2.2
2,1.5,2.1
3,7.9,2
4,1.3,6.7
5,2.1,25.3
6,8.2,3.7
7,1.5,1.8
8,0.7,2.6
9,0.2,13297.5
10,2.7,17781.8
11,7.1,18633.5
12,1.2,18511.6
13,0.5,18431.1
14,1.8,16948.4
15,3,16210.6
16,1.9,15989.2
17,2.3,12098.4
18,12.6,5399.2
19,1036.6,4748.2
20,5.7,4248.2
21,17.4,3715.1
22,2326.6,4966.1
23,4082.3,8504.9
24,5141.1,6372.4
25,6296.3,2733.1
26,7970.5,2491
27,9978.7,2246.9
28,11304,2037
29,11295.2,2299.7
30,5874.3,4129
31,5798.3,3225.9
32,8484.1,1282.5
33,10881.1,1169.7
34,4332.5,1096.8
35,4099.4,1003.9
36,3671.1,856.5
37,3364.9,1795.6
38,3678.4,1575.9
39,5817.4,613.4
40,4790.8,657.7
41,2008.7,618.2
42,1860.8,572.1
43,1643.4,339.1
44,1480.5,798.3
45,1772.7,700.7
46,3137.2,286.7
47,2490.1,280.9
48,988.8,272.5
49,936.8,253.7
50,862,94.4
51,807.5,294.3
52,838.1,283.7
53,1514.7,121.5
54,1127.4,120.6
55,450.1,123.2
56,362.2,127.1
57,248.5,40.1
58,245.4,115.6
59,100,118.4
60,207.9,48.4
61,180.6,48
62,73.9,46.9
63,76.1,46.2
64,84.3,23.1
65,64.6,73.7
66,20.9,69.9
67,50.3,28.8
68,47.9,28.3
69,21.5,30.5
70,25.3,27.8
71,23.7,2.8
72,17.5,21.1
73,5.9,25.4
74,15.1,12.7
75,13.7,13.3
76,6.2,14.9
77,6.3,16.2
78,4,4
79,3.6,13.1
80,3.6,15.1
81,6.8,8.2
82,5.7,7.7
83,2.3,9.2
84,0,6
85,0,1.5
86,0,4.7
87,0,4.6
88,0,2
89,0,2
