,哪吒之魔童降世,流浪地球,战狼2,红海行动,美人鱼,速度与激情8,唐人街探案2,我不是药神,西虹市首富
0,48.2,--,--,--,--,--,0,0.5,--
1,71.7,3.2,20,--,--,--,--,0.4,0.1
2,3.5,--,2.9,0,--,0,0,3.4,35.9
3,122.2,--,6.4,--,--,6270.6,--,0.2,0.1
4,220.2,--,5.6,1.5,--,41707.2,--,0,22713.1
5,572.5,3.3,10209.6,--,0.4,48750.2,0.2,1454.2,32070.1
6,1714.9,--,21471.6,--,--,38474.3,0.4,3561.3,35566.7
7,2107.2,--,31262,0,--,16286.1,--,0.4,21485.9
8,1,1.1,36713.4,0,0,12127.6,0.7,4817.7,18058.8
9,225.5,34.2,27310.1,0,0,9357.3,1.9,6542.4,15119.9
10,2.1,--,29283.6,--,--,7684.8,34076.3,15972.6,12131.7
11,1.8,0.2,27924,0.5,--,10277.6,32625.1,24132.3,12345.5
12,12926.6,--,22834.1,12951,0,16019.4,32344.1,38569.7,17531.9
13,22011.1,0,26616.3,14797.4,488.5,11662.8,31859.7,38595.2,15327.8
14,28677.2,1311.7,40572.7,18751.3,27172.3,4202.6,30230.4,20707.1,7170.7
15,18802,18884.6,42647.3,22411.9,24335.6,3666.8,29906,17656.9,6161.6
16,19241.6,25875.8,24324.6,24593.7,24968.8,3278.6,23585.3,14771.3,5487.8
17,19646.4,34043,22885.9,27065.9,24903.1,2903,18415.6,13143.9,4767.2
18,17644.9,38465.2,19651.8,24109.6,24547.2,3021.6,17042.1,12504.7,1362.1
19,20197.2,41708.2,16467.9,21202.2,24028.9,5958.6,15299.3,18179.2,3104.3
20,22876.8,41735.7,15080.4,22617.1,31546.1,7482,8612.5,16137,3610.2
21,24082.9,34131.7,21748.1,23857.3,17452,5793.5,7097.8,7551.6,1969
22,16686.2,25849.3,20158.1,14227.3,14796.6,1773,6218.3,6427.8,1792.5
23,15415,21566.6,9978.9,12446.6,12550.6,1390.4,5558.2,5887.2,1735.8
24,25172.4,35264.4,8654,11064.7,10774.2,1287.4,7140.1,5153.6,1795.3
25,12219.5,18184.2,7538.7,9736,10244.9,791.5,7951.8,4776.9,1287.7
26,11226.9,23319.8,6032.5,13321.5,13900.1,1342,5793.5,6963.5,1447.9
27,18120.1,19225,6307.1,15037.3,12311.3,1142.3,2414.1,6672.6,1539.3
28,17907.6,9980.3,9131,11169.8,8504.4,476.5,2111.2,3097.9,853.6
29,8917.8,11245.4,8901.6,4902.2,5366.7,428.2,1921.9,2780.1,848.3
30,7827.5,6554.4,4503.9,4374.4,4563.1,384.2,3359.7,2517.9,832.3
31,6981.6,5443.8,3923.3,3988.1,3898,313.9,1604.4,2290,803.1
32,6161.2,6084.7,3562.7,6800.3,4787.7,147.5,2772.6,810.5,267.6
33,6884.2,9832.9,3227.8,3868.6,7570,355.7,2112.3,1211.7,531.1
34,11102.7,7502.3,2612.5,6137.2,6026.2,319.6,831.2,1280.3,641.3
35,10955.5,2490.6,4016.1,4995.3,2415.7,152.2,772.6,728.7,380.2
36,5527.1,2216.3,4289.7,2087.9,2098.3,157.4,761.5,690.7,348.7
37,5069.2,2072.1,5791.5,1947.5,1839.8,149.2,685.9,646.4,374.7
38,4802.1,1903.2,2209.6,1808.6,1640.3,151.6,508.6,590,377.8
39,4562.2,2157.4,1894.1,1642.7,1573,78.2,1047.9,258.8,149.8
40,2924.2,4062,1576.9,1730.6,2788.8,287.7,946,513.6,276.3
41,6244.6,2970.5,1340.2,3070.7,2229.9,231.9,392.4,561.2,272.5
42,6426,928.7,2390.7,2550.1,890.5,106.9,340.8,313.9,128.3
43,2294,855,2012.1,1028.1,1853.8,108.4,339.9,300.2,128.3
44,2189.4,802.6,853.1,974.9,709.8,108.4,339.9,303.3,124.5
45,2008.8,723.6,780,898.4,643.4,101.7,312,287.5,114.9
46,2859.2,1120.1,752,838.2,553.8,26.4,602.8,24.2,80.5
47,2020,1207.6,685.8,891.3,1070.1,12,527.8,46.2,206.6
48,4791.2,979.1,566.1,1604.5,894.6,33,166.7,57.2,188.5
49,2757.2,329.4,1016.2,1363,351.6,53.2,203.2,35.4,100
50,1029.9,321.2,921.7,602.4,342.1,49.8,157.8,36.5,98
51,921,320.7,404.1,589.5,316.3,18.7,116,40.6,97.3
52,825.1,276.4,385.4,532.2,297.5,24.8,39.1,43.6,91.2
53,771.2,252.8,364.6,476.1,103.4,7,95.4,24.5,31.5
54,1077.1,552.9,362.4,302.1,208,16.3,93.8,27.1,99
55,2540.7,466.7,168.2,566,209.5,18.4,34.4,29.6,84.4
